context,verse_id,answer,entity_type
به خدا سوگند می‌خورند که  نگفته‌اند؛ در حالی که قطعاً سخنان کفرآمیز گفته‌اند؛ و پس از اسلام‌آوردنشان، کافر شده‌اند؛ و تصمیم  گرفتند، که به آن نرسیدند. آنها فقط از این انتقام می‌گیرند که خداوند و رسولش، آنان را به فضل  خود، بی‌نیاز ساختند!  اگر توبه کنند، برای آنها بهتر است؛ و اگر روی گردانند، خداوند آنها را در دنیا و آخرت، به مجازات دردناکی کیفر خواهد داد؛ و در سراسر زمین، نه ولیّ و حامی دارند، و نه یاوری!,s9.74,اسلام,religions
هنگامی که آمد، به او گفته شد: «آیا تخت تو این گونه است؟» گفت: گویا خود آن است! و ما پیش از این هم آگاه بودیم و اسلام آورده بودیم!»,s27.42,اسلام,religions
به او گفته شد: «داخل حیاط  شو!» هنگامی که نظر به آن افکند، پنداشت نهر آبی است و ساق پاهای خود را برهنه کرد  گفت: « بلکه قصری است از بلور صاف!»  گفت: «پروردگارا! من به خود ستم کردم؛ و  با سلیمان برای خداوندی که پروردگار عالمیان است اسلام آوردم!»,s27.44,اسلام,religions
آیا کسی که خدا سینه‌اش را برای اسلام گشاده است و بر فراز مرکبی از نور الهی قرار گرفته  وای بر آنان که قلبهایی سخت در برابر ذکر خدا دارند! آنها در گمراهی آشکاری هستند!,s39.22,اسلام,religions
به متخلّفان از اعراب بگو: «بزودی از شما دعوت می‌شود که بسوی قومی نیرومند و جنگجو بروید و با آنها پیکار کنید تا اسلام بیاورند؛ اگر اطاعت کنید، خداوند پاداش نیکی به شما می‌دهد؛ و اگر سرپیچی نمایید -همان گونه که در گذشته نیز سرپیچی کردید- شما را با عذاب دردناکی کیفر می‌دهد!»,s48.16,اسلام,religions
عربهای بادیه‌نشین گفتند: «ایمان آورده‌ایم» بگو: «شما ایمان نیاورده‌اید، ولی بگویید اسلام آورده‌ایم، امّا هنوز ایمان وارد قلب شما نشده است! و اگر از خدا و رسولش اطاعت کنید، چیزی از پاداش کارهای شما را فروگذار نمی‌کند، خداوند، آمرزنده مهربان است.»,s49.14,اسلام,religions
آنها بر تو منّت می‌نهند که اسلام آورده‌اند؛ بگو: «اسلام آوردن خود را بر من منّت نگذارید، بلکه خداوند بر شما منّت می‌نهد که شما را به سوی ایمان هدایت کرده است، اگر  راستگو هستید!,s49.17,اسلام,religions
چه کسی ظالمتر است از آن کس که بر خدا دروغ بسته در حالی که دعوت به اسلام می‌شود؟! خداوند گروه ستمکاران را هدایت نمی‌کند!,s61.7,اسلام,religions
و اینکه گروهی از ما مسلمان و گروهی ظالمند؛ هر کس اسلام را اختیار کند راه راست را برگزیده است،,s72.14,اسلام,religions
کسانی که  ایمان آورده‌اند، و کسانی که به آئین یهود گرویدند و نصاری و صابئان  هر گاه به خدا و روز رستاخیز ایمان آورند، و عمل صالح انجام دهند، پاداششان نزد پروردگارشان مسلم است؛ و هیچ‌گونه ترس و اندوهی برای آنها نیست. ,s2.62,یهود,religions
آنها گفتند: «هیچ کس، جز یهود یا نصاری، هرگز داخل بهشت نخواهد شد.» این آرزوی آنهاست! بگو: «اگر راست می‌گویید، دلیل خود را  بیاورید!»,s2.111,یهود,religions
یهودیان گفتند: «مسیحیان هیچ موقعیتی  ندارند»، و مسیحیان نیز گفتند: «یهودیان هیچ موقعیتی ندارند »؛ در حالی که هر دو دسته، کتاب آسمانی را می‌خوانند  افراد نادان  نیز، سخنی همانند سخن آنها داشتند! خداوند، روز قیامت، در باره آنچه در آن اختلاف داشتند، داوری می‌کند.,s2.113,یهود,religions
هرگز یهود و نصاری از تو راضی نخواهند شد،  از آیین  آنان، پیروی کنی. بگو: «هدایت، تنها هدایت الهی است!» و اگر از هوی و هوسهای آنان پیروی کنی، بعد از آنکه آگاه شده‌ای، هیچ سرپرست و یاوری از سوی خدا برای تو نخواهد بود.,s2.120,یهود,religions
 گفتند: «یهودی یا مسیحی شوید، تا هدایت یابید!» بگو: « بلکه از آیین خالص ابراهیم پیروی کنید! و او هرگز از مشرکان نبود!»,s2.135,یهود,religions
یا می‌گویید: «ابراهیم و اسماعیل و اسحاق و یعقوب و اسباط، یهودی یا نصرانی بودند»؟! بگو: «شما بهتر می‌دانید یا خدا؟! » و چه کسی ستمکارتر است از آن کس که گواهی و شهادت الهی را که نزد اوست، کتمان می‌کند؟! و خدا از اعمال شما غافل نیست.,s2.140,یهود,religions
ابراهیم نه یهودی بود و نه نصرانی؛ بلکه موحّدی خالص و مسلمان بود؛ و هرگز از مشرکان نبود.,s3.67,یهود,religions
همانها که خدا را در حال ایستاده و نشسته، و آنگاه که بر پهلو خوابیده‌اند، یاد می‌کنند؛ و در اسرار آفرینش آسمانها و زمین می‌اندیشند؛  بار الها! اینها را بیهوده نیافریده‌ای! منزهی تو! ما را از عذاب آتش، نگاه دار!,s3.191,یهود,religions
بعضی از یهود، سخنان را از جای خود، تحریف می‌کنند؛ و ، می‌گویند: «شنیدیم و مخالفت کردیم! و  بشنو! که هرگز نشنوی! و  راعنا » تا با زبان خود، حقایق را بگردانند و در آیین خدا، طعنه زنند. ولی اگر آنها  می‌گفتند: «شنیدیم و اطاعت کردیم؛ و سخنان ما را بشنو و به ما مهلت ده »، برای آنان بهتر، و با واقعیت سازگارتر بود. ولی خداوند، آنها را بخاطر کفرشان، از رحمت خود دور ساخته است؛ از این رو جز عدّه کمی ایمان نمی‌آورند.,s4.46,یهود,religions
بخاطر ظلمی که از یهود صادر شد، و  بخاطر جلوگیری بسیار آنها از راه خدا، بخشی از چیزهای پاکیزه را که بر آنها حلال بود، حرام کردیم.,s4.160,یهود,religions
یهود و نصاری گفتند: «ما، فرزندان خدا و دوستان  او هستیم.» بگو: «پس چرا شما را در برابر گناهانتان مجازات می‌کند؟! بلکه شما هم بشری هستید از مخلوقاتی که آفریده؛ هر کس را بخواهد ، می‌بخشد؛ و هر کس را بخواهد ، مجازات می‌کند؛ و حکومت آسمانها و زمین و آنچه در میان آنهاست، از آن اوست؛ و بازگشت همه موجودات، به سوی اوست.»,s5.18,یهود,religions
ای فرستاده ! آنها که در مسیر کفر شتاب می‌کنند و با زبان می‌گویند: «ایمان آوردیم» و قلب آنها ایمان نیاورده، تو را اندوهگین نسازند! و  گروهی از یهودیان که خوب به سخنان تو گوش می‌دهند، تا دستاویزی برای تکذیب تو بیابند؛ آنها جاسوسان گروه دیگری هستند که خودشان نزد تو نیامده‌اند؛ آنها سخنان را از مفهوم اصلیش تحریف می‌کنند، و  می‌گویند: «اگر این  به شما داده شد  بپذیرید، وگرنه  دوری کنید!»  کسی را که خدا  بخواهد مجازات کند، قادر به دفاع از او نیستی؛ آنها کسانی هستند که خدا نخواسته دلهایشان را پاک کند؛ در دنیا رسوایی، و در آخرت مجازات بزرگی نصیبشان خواهد شد.,s5.41,یهود,religions
ما تورات را نازل کردیم در حالی که در آن، هدایت و نور بود؛ و پیامبران، که در برابر فرمان خدا تسلیم بودند، با آن برای یهود حکم می‌کردند؛ و  علما و دانشمندان به این کتاب که به آنها سپرده شده و بر آن گواه بودند، داوری می‌نمودند. بنابر این،  از مردم نهراسید! و از من بترسید! و آیات مرا به بهای ناچیزی نفروشید! و آنها که به احکامی که خدا نازل کرده حکم نمی‌کنند، کافرند.,s5.44,یهود,religions
ای کسانی که ایمان آورده‌اید! یهود و نصاری را ولّی  انتخاب نکنید! آنها اولیای یکدیگرند؛ و کسانی که از شما با آنان دوستی کنند، از آنها هستند؛ خداوند، جمعیّت ستمکار را هدایت نمی‌کند,s5.51,یهود,religions
چرا دانشمندان نصاری و علمای یهود، آنها را از سخنان گناه‌آمیز و خوردن مال حرام، نهی نمی‌کنند؟! چه زشت است عملی که انجام می‌دادند!,s5.63,یهود,religions
و یهود گفتند: «دست خدا  بسته است.» دستهایشان بسته باد! و بخاطر این سخن، از رحمت  دور شوند! بلکه هر دو دست  او، گشاده است؛ هرگونه بخواهد، می‌بخشد! ولی این آیات، که از طرف پروردگارت بر تو نازل شده، بر طغیان و کفر بسیاری از آنها می‌افزاید. و ما در میان آنها تا روز قیامت عداوت و دشمنی افکندیم. هر زمان آتش جنگی افروختند، خداوند آن را خاموش ساخت؛ و برای فساد در زمین، تلاش می‌کنند؛ و خداوند، مفسدان را دوست ندارد.,s5.64,یهود,religions
آنها که ایمان آورده‌اند، و یهود و صابئان و مسیحیان، هرگاه به خداوند یگانه و روز جزا، ایمان بیاورند، و عمل صالح انجام دهند، نه ترسی بر آنهاست، و نه غمگین خواهند شد.,s5.69,یهود,religions
بطور مسلّم، دشمنترین مردم نسبت به مؤمنان را، یهود و مشرکان خواهی یافت؛ و نزدیکترین دوستان به مؤمنان را کسانی می‌یابی که می‌گویند: «ما نصاری هستیم»؛ این بخاطر آن است که در میان آنها، افرادی عالم و تارک دنیا هستند؛ و آنها  تکبّر نمی‌ورزند.,s5.82,یهود,religions
خداوند شما را بخاطر سوگندهای بیهوده  مؤاخذه نمی‌کند؛ ولی در برابر سوگندهایی که  محکم کرده‌اید، مؤاخذه می‌نماید. کفاره این‌گونه قسمها، اطعام ده نفر مستمند، از غذاهای معمولی است که به خانواده خود می‌دهید؛ یا لباس پوشاندن بر آن ده نفر؛ و یا آزاد کردن یک برده؛ و کسی که هیچ کدام از اینها را نیابد، سه روز روزه می‌گیرد؛ این، کفاره سوگندهای شماست به هنگامی که سوگند یاد می‌کنید . و سوگندهای خود را حفظ کنید  خداوند آیات خود را این چنین برای شما بیان می‌کند، شاید شکر او را بجا آورید!,s5.89,یهود,religions
و بر یهودیان، هر حیوان ناخن‌دار  را حرام کردیم؛ و از گاو و گوسفند، پیه و چربیشان را بر آنان تحریم نمودیم؛ مگر چربیهایی که بر پشت آنها قرار دارد، و یا در دو طرف پهلوها، و یا آنها که با استخوان آمیخته است؛ این را بخاطر ستمی که می‌کردند به آنها کیفر دادیم؛ و ما راست می‌گوییم.,s6.146,یهود,religions
یهود گفتند: «عزیر پسر خداست!» و نصاری کفتند: «مسیح پسر خداست!» این سخنی است که با زبان خود می‌گویند، که همانند گفتار کافران پیشین است؛ خدا آنان را بکشد، چگونه از حق انحراف می‌یابند؟!,s9.30,یهود,religions
چیزهایی را که پیش از این برای تو شرح دادیم، بر یهود حرام کردیم؛ ما به آنها ستم نکردیم، اما آنها به خودشان ظلم و ستم می‌کردند!,s16.118,یهود,religions
در آن جا هرگز گفتار لغو و بیهوده‌ای نمی‌شنوند؛ و جز سلام در آن جا سخنی نیست؛ و هر صبح و شام، روزی آنان در بهشت مقرّر است.,s19.62,یهود,religions
مسلّماً کسانی که ایمان آورده‌اند، و یهود و صابئان  و نصاری و مجوس و مشرکان، خداوند در میان آنان روز قیامت داوری می‌کند؛  خداوند بر هر چیز گواه  است.,s22.17,یهود,religions
همانها که از خانه و شهر خود، به ناحق رانده شدند، جز اینکه می‌گفتند: «پروردگار ما، خدای یکتاست!» و اگر خداوند بعضی از مردم را بوسیله بعضی دیگر دفع نکند، دیرها و صومعه‌ها، و معابد یهود و نصارا، و مساجدی که نام خدا در آن بسیار برده می‌شود، ویران می‌گردد! و خداوند کسانی را که یاری او کنند  یاری می‌کند؛ خداوند قوی و شکست ناپذیر است.,s22.40,یهود,religions
و آنها که از لغو و بیهودگی روی‌گردانند؛,s23.3,یهود,religions
آیا گمان کردید شما را بیهوده آفریده‌ایم، و بسوی ما باز نمی‌گردید؟,s23.115,یهود,religions
و کسانی که شهادت به باطل نمی‌دهند ؛ و هنگامی که با لغو و بیهودگی برخورد کنند، بزرگوارانه از آن می‌گذرند.,s25.72,یهود,religions
و هرگاه سخن لغو و بیهوده بشنوند، از آن روی می‌گردانند و می‌گویند: «اعمال ما از آن ماست و اعمال شما از آن خودتان؛ سلام بر شما ؛ ما خواهان جاهلان نیستیم!»,s28.55,یهود,religions
و بعضی از مردم سخنان بیهوده را می‌خرند تا مردم را از روی نادانی، از راه خدا گمراه سازند و آیات الهی را به استهزا گیرند؛ برای آنان عذابی خوارکننده است!,s31.6,یهود,religions
ما آسمان و زمین و آنچه را میان آنهاست بیهوده نیافریدیم؛ این گمان کافران است؛ وای بر کافران از آتش !,s38.27,یهود,religions
آنها در بهشت جامهای پر از شراب طهور را که نه بیهوده‌گویی در آن است و نه گناه، از یکدیگر می‌گیرند!,s52.23,یهود,religions
در آن  نه لغو و بیهوده‌ای می‌شنوند نه سخنان گناه آلود؛,s56.25,یهود,religions
کار این گروه از یهود همانند کسانی است که کمی قبل از آنان بودند، طعم تلخ کار خود را چشیدند و برای آنها عذابی دردناک است!,s59.15,یهود,religions
بگو: «ای یهودیان! اگر گمان می‌کنید که  شما دوستان خدائید نه سایر مردم، پس آرزوی مرگ کنید اگر راست می‌گویید !»,s62.6,یهود,religions
در آنجا نه سخن لغو و بیهوده‌ای می‌شنوند و نه دروغی!,s78.35,یهود,religions
که در آن هیچ سخن لغو و بیهوده‌ای نمی‌شنوند!,s88.11,یهود,religions
مسلّماً کسانی که ایمان آورده‌اند، و یهود و صابئان  و نصاری و مجوس و مشرکان، خداوند در میان آنان روز قیامت داوری می‌کند؛  خداوند بر هر چیز گواه  است.,s22.17,مجوس,religions
